dia,mes,anio,Tmax,Tmin
3,8,1960,15.1,6.1
4,8,1960,12.5,4.3
5,8,1960,17.1,-0.5
6,8,1960,18.5,6.5
7,8,1960,18.8,6.9
8,8,1960,23.6,7.7
9,8,1960,22.5,11.3
10,8,1960,17.5,12.8
11,8,1960,25.1,12.9
12,8,1960,22.8,9.8
13,8,1960,15,1.7
14,8,1960,18,2.4
15,8,1960,14.8,2.9
16,8,1960,14.8,4.4
17,8,1960,12.3,7.9
18,8,1960,18.1,-1.4
19,8,1960,22.3,5.8
20,8,1960,16.7,2.6
21,8,1960,16.3,6.9
22,8,1960,19.2,11.9
23,8,1960,15.2,10.8
24,8,1960,12.6,8.4
25,8,1960,14,8.7
26,8,1960,13.6,6.1
27,8,1960,17.4,2.9
28,8,1960,19.8,11.1
29,8,1960,17.4,9.8
30,8,1960,14.2,6.8
31,8,1960,11.4,1.3
1,9,1960,10.1,-1.8
2,9,1960,13.3,-3.2
3,9,1960,19.2,5.3
4,9,1960,21.3,6.9
5,9,1960,21,6.2
6,9,1960,22.4,12.3
7,9,1960,19.6,11.3
8,9,1960,14.7,2.8
9,9,1960,17.6,-0.7
10,9,1960,19.2,8
11,9,1960,20,8.6
12,9,1960,18.5,0.8
13,9,1960,19.4,5.2
14,9,1960,17.8,4.6
15,9,1960,17.8,8.8
16,9,1960,17.6,11.4
17,9,1960,17,12.7
18,9,1960,19,10.6
19,9,1960,21,7.9
20,9,1960,24,8.3
21,9,1960,21.3,10.2
22,9,1960,20.1,13.5
23,9,1960,19,14.9
24,9,1960,16.6,13.9
25,9,1960,17.2,9.6
26,9,1960,19.4,4
27,9,1960,17.6,6.7
28,9,1960,24,8.9
29,9,1960,26.5,11.4
30,9,1960,28.7,12.3
1,10,1960,24,15
2,10,1960,24,8.3
3,10,1960,27.6,14
4,10,1960,28.3,16.4
5,10,1960,22.1,12.2
6,10,1960,20.8,14.2
7,10,1960,17.8,6
8,10,1960,15.5,10.3
9,10,1960,21.5,9.5
10,10,1960,26.6,15.4
11,10,1960,20.6,9.2
12,10,1960,20.3,8
13,10,1960,16.8,14.4
14,10,1960,21.1,13.9
15,10,1960,23,8.3
16,10,1960,24,12.7
17,10,1960,24,12.9
18,10,1960,24.8,15.5
19,10,1960,24.6,15.7
20,10,1960,26.8,16.2
21,10,1960,21.3,17
22,10,1960,20,14.9
23,10,1960,20.5,15.9
24,10,1960,21.2,12.1
25,10,1960,17.8,5.9
26,10,1960,16.2,7.5
27,10,1960,15.6,3.8
28,10,1960,18,4.7
29,10,1960,20.6,8.7
30,10,1960,20.5,13.1
31,10,1960,25,15.2
1,11,1960,23.6,14.9
2,11,1960,24.8,13
3,11,1960,21,16.3
4,11,1960,24.6,14.7
5,11,1960,24,10.9
6,11,1960,25,12.9
7,11,1960,25,15.1
8,11,1960,29.6,16.6
9,11,1960,30.8,16.5
10,11,1960,30.6,16.7
11,11,1960,28.1,15
12,11,1960,26.1,15.4
13,11,1960,27.2,11.6
14,11,1960,15.3,6.9
15,11,1960,20.6,1.9
16,11,1960,24.9,11.9
17,11,1960,20.6,10.5
18,11,1960,26.1,9.4
19,11,1960,18,6.3
20,11,1960,27,7.9
21,11,1960,28.7,12.7
22,11,1960,31.6,16.2
23,11,1960,31.3,19.8
24,11,1960,26.3,11.3
25,11,1960,23.5,10
26,11,1960,24.5,10.9
27,11,1960,27.8,13.8
28,11,1960,33,16.6
29,11,1960,25.4,11
30,11,1960,28.6,8.6
1,12,1960,28.1,12.2
2,12,1960,26.4,12.9
3,12,1960,27.5,11.9
4,12,1960,33.2,14.6
5,12,1960,22.6,12.9
6,12,1960,28.5,10.4
7,12,1960,32,16.6
8,12,1960,33.8,17.3
9,12,1960,25.4,16.7
10,12,1960,23.6,13.5
11,12,1960,25,16.1
12,12,1960,22.4,17.7
13,12,1960,26.6,15.5
14,12,1960,27.3,15.8
15,12,1960,28.9,10.1
16,12,1960,21.4,13.9
17,12,1960,26,10.5
18,12,1960,25.6,10.3
19,12,1960,21.8,10.2
20,12,1960,29,10
21,12,1960,34.7,16.3
22,12,1960,31.2,10.8
23,12,1960,29,9.7
24,12,1960,30.3,13.4
25,12,1960,24.2,7.6
26,12,1960,30.6,12.6
27,12,1960,35.5,18
28,12,1960,27.2,13.7
29,12,1960,29,11.1
30,12,1960,34,16.6
31,12,1960,34.8,19.1
1,1,1961,35.9,18.9
2,1,1961,32,16.6
3,1,1961,30.6,13.9
4,1,1961,32.7,14.4
5,1,1961,25.6,17.7
6,1,1961,25.1,12
7,1,1961,29.8,13
8,1,1961,34,16.1
9,1,1961,36.8,19.4
10,1,1961,26.4,
11,1,1961,30.4,10.3
12,1,1961,32,20.1
13,1,1961,23.3,17.7
14,1,1961,31,18
15,1,1961,32.4,22.3
16,1,1961,31,21.5
17,1,1961,26,17.4
18,1,1961,29.2,13.5
19,1,1961,33,20.6
20,1,1961,36,23.4
21,1,1961,23.5,13.9
22,1,1961,27,12.9
23,1,1961,33.6,20.8
24,1,1961,25,12.1
25,1,1961,24.3,9.2
26,1,1961,26.7,9.9
27,1,1961,27.7,13.6
28,1,1961,30.7,15.5
29,1,1961,33.8,17
30,1,1961,35,21.5
31,1,1961,29.6,18.5
1,2,1961,25.9,15.7
2,2,1961,29.6,14.7
3,2,1961,31.8,17.9
4,2,1961,33,21.8
5,2,1961,31,16.2
6,2,1961,32,20.9
7,2,1961,28,16.1
8,2,1961,27.8,13.9
9,2,1961,31,18.4
10,2,1961,25.4,18.4
11,2,1961,31.6,13.2
12,2,1961,32,17.1
13,2,1961,25,10.7
14,2,1961,25.1,12.9
15,2,1961,29.5,16.7
16,2,1961,30,19.8
17,2,1961,27.4,19.3
18,2,1961,29.5,18.9
19,2,1961,29.6,19.6
20,2,1961,32,17.5
21,2,1961,33.5,20.7
22,2,1961,25.6,17.8
23,2,1961,24.5,11
24,2,1961,28.1,14
25,2,1961,25,17.2
26,2,1961,20.2,8.6
27,2,1961,22.5,10
28,2,1961,17.4,12.6
1,3,1961,27.6,13.2
2,3,1961,31.7,16.7
3,3,1961,28.4,19.9
4,3,1961,25,15.8
5,3,1961,21.9,9.6
6,3,1961,20.9,9.3
7,3,1961,26.1,12.4
8,3,1961,27.6,16.6
9,3,1961,31.5,18.7
10,3,1961,32.1,20.9
11,3,1961,31,21.3
12,3,1961,26.8,19.6
13,3,1961,28.6,12.9
14,3,1961,27.8,17.6
15,3,1961,23.3,15.6
16,3,1961,20,11
17,3,1961,23.2,4.6
18,3,1961,26.5,9.3
19,3,1961,25.6,13.7
20,3,1961,27.9,14.3
21,3,1961,28.6,12
22,3,1961,29.6,17
23,3,1961,33,19.9
24,3,1961,29.6,19.2
25,3,1961,20.8,14.8
26,3,1961,19.4,7.2
27,3,1961,22.8,7.5
28,3,1961,26,15.4
29,3,1961,27.2,17.2
30,3,1961,29,19.7
31,3,1961,26,18.3
1,4,1961,21.6,8.2
2,4,1961,23.7,7.1
3,4,1961,24,14.5
4,4,1961,21,9.6
5,4,1961,18.7,6.6
6,4,1961,19.4,1.1
7,4,1961,21.6,8.3
8,4,1961,24.3,11.3
9,4,1961,22.5,4.9
10,4,1961,23,9
11,4,1961,19.8,14.2
12,4,1961,23,8.3
